1	1	--带上护身符可以免费传送！	护身符|护身符(大)|超级护身符	0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	带上护身符可以免费传送！
2	5	星王套装属性	星王道剑|星王道盔|星王腰带(道)|星王道靴|星王项链(道)|星王道戒|星王护腕(道)|星王道袍(男)|星王道袍(女)	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|5|5|5|5|5|0|0|0|0|0|0|0|5|5|5|5|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	激活5件星王套装属性:攻魔道+5；物理防御+5；魔法防御+5
5	8	星王套装属性	星王魔剑|星王法冠|星王腰带(法)|星王法靴|星王项链(法)|星王护腕(法)|星王魔戒|星王魔衣(男)|星王魔衣(女)	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|8|8|8|8|8|0|0|0|0|0|0|0|8|8|8|8|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	激活8件终极星王套装属性:攻魔道+8；物理防御+8；魔法防御+8
3	5	星王套装属性	星王魔剑|星王法冠|星王腰带(法)|星王法靴|星王项链(法)|星王护腕(法)|星王魔戒|星王魔衣(男)|星王魔衣(女)	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|5|5|5|5|5|0|0|0|0|0|0|0|5|5|5|5|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	激活5件星王套装属性:攻魔道+5；物理防御+5；魔法防御+5
4	5	星王套装属性	星王圣剑|星王战盔|星王腰带(战)|星王战靴|星王项链(战)|星王护腕(战)|星王战戒|星王战甲(男)|星王战甲(女)	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|5|5|5|5|5|0|0|0|0|0|0|0|5|5|5|5|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	激活5件星王套装属性:攻魔道+5；物理防御+5；魔法防御+5
6	8	星王套装属性	星王圣剑|星王战盔|星王腰带(战)|星王战靴|星王项链(战)|星王护腕(战)|星王战戒|星王战甲(男)|星王战甲(女)	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|8|8|8|8|8|0|0|0|0|0|0|0|8|8|8|8|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	激活8件终极星王套装属性:攻魔道+8；物理防御+8；魔法防御+8
7	8	星王套装属性	星王道剑|星王道盔|星王腰带(道)|星王道靴|星王项链(道)|星王道戒|星王护腕(道)|星王道袍(男)|星王道袍(女)	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|8|8|8|8|8|0|0|0|0|0|0|0|8|8|8|8|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	激活8件终极星王套装属性:攻魔道+8；物理防御+8；魔法防御+8
8	5	王者战5套	王者战盔|王者斗笠(战)|王者项链(战)|王者战戒|王者护腕(战)|王者腰带(战)|王者战靴|王者勋章(战)|王者之刃|王者圣衣(男)|王者圣衣(女)	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|10|10|10|10|10|0|0|0|0|0|0|0|10|10|10|10|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	触发王者属性，物理魔法防御+10，攻魔道+10
9	5	王者战5套	王者法冠|王者斗笠(法)|王者项链(法)|王者魔戒|王者护腕(法)|王者腰带(法)|王者法靴|王者勋章(法)|王者之杖|王者魔衣(男)|王者魔衣(女)	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|10|10|10|10|10|0|0|0|0|0|0|0|10|10|10|10|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	触发王者属性，物理魔法防御+10，攻魔道+10
10	5	王者战5套	王者道盔|王者斗笠(道)|王者项链(道)|王者道戒|王者护腕(道)|王者腰带(道)|王者道靴|王者勋章(道)|王者之剑|王者道袍(男)|王者道袍(女)	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|10|10|10|10|10|0|0|0|0|0|0|0|10|10|10|10|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	触发王者属性，物理魔法防御+10，攻魔道+10
11	8	王者战8套	王者道盔|王者斗笠(道)|王者项链(道)|王者道戒|王者护腕(道)|王者腰带(道)|王者道靴|王者勋章(道)|王者之剑|王者道袍(男)|王者道袍(女)	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|15|15|15|15|15|0|0|0|0|0|0|0|15|15|15|15|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	触发王者属性，物理魔法防御+15，攻魔道+15
